,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
154,Erik,Johnson,D,2022-23,34,COL,NHL,63,0,8,8,8,12,0,0,0,0,7,0,1,98,0.0,182,1087,17:15,0,0,,102,121,16,17,,38,38,' placed on IR with fractured ankle'
155,Lucas,Raymond,LW,2022-23,20,DET,NHL,74,17,28,45,-17,24,12,5,0,4,14,14,0,134,12.7,245,1286,17:23,5,12,29.4,20,43,33,27,,13,13,' placed on IR with lower body injury'
156,Jonah,Gadjovich,LW,2022-23,24,SJS,NHL,35,3,4,7,-3,57,3,0,0,0,4,0,0,32,9.4,55,315,8:59,1,3,25.0,5,92,10,13,,119,119,' placed on IR with upper body injury (out for season)'
157,Brandon,Saad,LW,2022-23,30,STL,NHL,71,19,18,37,-8,12,15,2,2,1,15,2,1,127,15.0,198,1183,16:39,4,4,50.0,31,24,34,26,,7,7,' placed on IR with upper body injury'
158,Jean-Gabriel,Pageau,C,2022-23,30,NYI,NHL,70,13,27,40,-2,14,5,5,3,2,23,3,1,123,10.6,204,1233,17:37,719,537,57.2,61,175,33,35,,26,26,' placed on IR with upper body injury'
159,Arber,Xhekaj,D,2022-23,22,MTL,NHL,51,5,8,13,-9,101,3,2,0,0,7,1,0,75,6.7,169,779,15:16,0,0,,46,159,14,38,,115,115,' placed on IR with upper body injury (out for season)'
160,Travis,Dermott,D,2022-23,26,VAN,NHL,11,1,0,1,-4,2,1,0,0,0,0,0,0,7,14.3,14,151,13:45,0,0,,10,10,1,1,,115,115,' placed on IR with undisclosed (out for season)'
161,Jake,Neighbours,LW,2022-23,20,STL,NHL,43,6,4,10,-19,24,5,1,0,1,3,1,0,53,11.3,87,534,12:26,7,12,36.8,21,63,13,3,,29,29,' placed on IR with upper body injury'
162,Daniil,Miromanov,D,2022-23,25,VEG,NHL,14,2,4,6,-6,2,1,1,0,0,2,2,0,22,9.1,47,238,17:02,0,0,,13,7,1,6,,5,5,' placed on IR with lower body injury'
163,Cole,Perfetti,C,2022-23,21,WPG,NHL,51,8,22,30,10,16,7,1,0,0,18,4,0,90,8.9,159,763,14:58,3,8,27.3,22,35,19,18,"AR-6,Calder-11",112,112,' placed on IR with upper body injury (out for season)'
