,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
756,Jakub,Voráček,RW,2022-23,33,CBJ,NHL,11,1,5,6,-7,0,0,1,0,0,5,0,0,17,5.9,,176,15:58,1,2,33.3,7,2,,,,,,
757,Jakub,Vrána,LW,2022-23,26,TOT,NHL,25,11,5,16,3,10,7,4,0,2,5,0,0,63,17.5,,364,14:33,2,5,28.6,6,14,,,,,,
758,Austin,Wagner,LW,2022-23,25,CHI,NHL,7,1,1,2,-2,0,1,0,0,1,1,0,0,13,7.7,,85,12:08,0,0,,1,19,,,,,,
759,Chris,Wagner,C,2022-23,31,BOS,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13,12:36,1,3,25.0,1,6,,,,,,
760,Nathan,Walker,C,2022-23,28,STL,NHL,56,2,8,10,10,25,2,0,0,1,8,0,0,43,4.7,,576,10:17,95,82,53.7,35,82,,,,,,
761,Samuel,Walker,C,2022-23,23,MIN,NHL,9,1,1,2,-1,0,1,0,0,0,1,0,0,8,12.5,,95,10:36,0,0,,1,2,,,,,,
762,Sean,Walker,D,2022-23,28,LAK,NHL,70,3,10,13,-3,36,3,0,0,1,9,1,0,94,3.2,,1038,14:50,0,0,,104,77,,,,,,
763,Austin,Watson,LW,2022-23,31,OTT,NHL,75,9,2,11,-7,123,6,0,3,2,2,0,0,79,11.4,,767,10:14,7,8,46.7,61,165,,,,,,
764,MacKenzie,Weegar,D,2022-23,29,CGY,NHL,81,4,27,31,15,43,4,0,0,1,23,3,1,160,2.5,,1709,21:06,0,0,,117,186,,,,,,
765,Alexander,Wennberg,C,2022-23,28,SEA,NHL,82,13,25,38,-7,20,9,4,0,3,20,5,0,101,12.9,,1533,18:42,627,748,45.6,63,43,,,,,,
766,Zach,Werenski,D,2022-23,25,CBJ,NHL,13,3,5,8,-6,0,3,0,0,0,3,2,0,41,7.3,,307,23:36,0,0,,24,5,,,,,,
767,Colin,White,C,2022-23,26,FLA,NHL,68,8,7,15,0,12,8,0,0,0,7,0,0,64,12.5,,655,9:38,84,111,43.1,29,61,,,,,,
768,Colton,White,D,2022-23,25,ANA,NHL,46,0,6,6,-17,8,0,0,0,0,6,0,0,30,0.0,,668,14:32,0,0,,37,34,,,,,,
769,Maxwell,Willman,C,2022-23,27,PHI,NHL,9,0,0,0,-3,4,0,0,0,0,0,0,0,9,0.0,,81,8:58,0,3,0.0,6,16,,,,,,
770,Christian,Wolanin,D,2022-23,27,VAN,NHL,16,0,3,3,5,4,0,0,0,0,2,1,0,16,0.0,,252,15:45,0,0,,11,4,,,,,,
771,Miles,Wood,LW,2022-23,27,NJD,NHL,76,13,14,27,1,76,11,2,0,2,13,1,0,167,7.8,,920,12:06,1,5,16.7,19,100,,,,,,
772,Parker,Wotherspoon,D,2022-23,25,NYI,NHL,12,0,1,1,5,4,0,0,0,0,1,0,0,10,0.0,,160,13:20,0,0,,7,8,,,,,,
773,Shane,Wright,C,2022-23,19,SEA,NHL,8,1,1,2,4,2,1,0,0,0,1,0,0,4,25.0,,68,8:29,10,21,32.3,6,1,,,,,,
774,Kailer,Yamamoto,RW,2022-23,24,EDM,NHL,58,10,15,25,12,24,9,0,1,3,14,0,1,97,10.3,,962,16:35,6,7,46.2,24,77,,,,,,
775,Jesse,Ylönen,RW,2022-23,23,MTL,NHL,37,6,10,16,-11,0,5,1,0,1,10,0,0,43,14.0,,498,13:27,3,3,50.0,28,14,,,,,,
776,Cameron,York,D,2022-23,22,PHI,NHL,54,2,18,20,-1,18,2,0,0,0,14,3,1,42,4.8,,1061,19:39,0,0,,69,44,,,,,,
777,Pavel,Zacha,C,2022-23,25,BOS,NHL,82,21,36,57,26,16,18,3,0,3,30,5,1,131,16.0,,1317,16:03,134,162,45.3,21,67,,,,,,
778,Nikita,Zadorov,D,2022-23,27,CGY,NHL,82,14,7,21,10,80,14,0,0,2,6,1,0,130,10.8,,1532,18:41,0,0,,75,174,,,,,,
779,Yegor,Zamula,D,2022-23,22,PHI,NHL,14,0,4,4,0,2,0,0,0,0,4,0,0,8,0.0,,187,13:23,0,0,,13,9,,,,,,
780,Jakub,Zbořil,D,2022-23,25,BOS,NHL,22,1,3,4,-1,6,1,0,0,1,3,0,0,13,7.7,,292,13:17,0,0,,19,31,,,,,,
781,Trevor,Zegras,C,2022-23,21,ANA,NHL,81,23,42,65,-24,88,19,4,0,3,29,13,0,184,12.5,,1525,18:50,237,336,41.4,29,46,,,,,,
782,Fabian,Zetterlund,W,2022-23,23,TOT,NHL,67,6,17,23,-6,14,5,1,0,1,15,2,0,118,5.1,,888,13:15,7,10,41.2,20,53,,,,,,
783,Mika,Zibanejad,C,2022-23,29,NYR,NHL,82,39,52,91,25,20,18,20,1,5,32,19,1,251,15.5,,1637,19:58,692,706,49.5,48,71,,,,,,
784,Radim,Zohorna,F,2022-23,26,TOT,NHL,10,1,0,1,-1,0,1,0,0,0,0,0,0,9,11.1,,86,8:35,21,20,51.2,2,7,,,,,,
785,Mats,Zuccarello,LW,2022-23,35,MIN,NHL,78,22,45,67,-3,26,13,9,0,3,25,20,0,198,11.1,,1575,20:12,24,36,40.0,51,51,,,,,,
786,Jason,Zucker,LW,2022-23,31,PIT,NHL,78,27,21,48,-4,47,25,2,0,5,14,7,0,197,13.7,,1221,15:39,4,11,26.7,29,197,,,,,,
