,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
402,Brett,Howden,C,2021-22,23,VEG,NHL,47,9,11,20,9,12,9,0,0,2,9,0,2,39,23.1,,501,10:39,140,151,48.1,36,62,,,,0,0,
403,Filip,Hronek,D,2021-22,24,DET,NHL,78,5,33,38,-29,36,3,2,0,0,28,5,0,133,3.8,,1718,22:02,0,0,,81,70,,,,0,0,
404,Jonathan,Huberdeau,LW,2021-22,28,FLA,NHL,80,30,85,115,35,54,22,5,3,7,50,33,2,222,13.5,,1554,19:25,18,36,33.3,28,99,,,,0,0,
405,Jack,Hughes,C,2021-22,20,NJD,NHL,49,26,30,56,-16,0,20,6,0,2,22,8,0,165,15.8,,959,19:34,122,231,34.6,15,6,,,,0,0,
406,Quinn,Hughes,D,2021-22,22,VAN,NHL,76,8,60,68,10,28,8,0,0,1,27,31,2,150,5.3,,1919,25:15,0,0,,56,19,,,,0,0,
407,Brad,Hunt,D,2021-22,33,VAN,NHL,50,3,14,17,-3,12,3,0,0,0,12,2,0,67,4.5,,763,15:15,0,0,,48,22,,,,0,0,
408,Dryden,Hunt,LW,2021-22,26,NYR,NHL,76,6,11,17,-10,52,6,0,0,2,11,0,0,94,6.4,,934,12:17,5,15,25.0,17,153,,,,0,0,
409,Ben,Hutton,D,2021-22,28,VEG,NHL,58,3,10,13,7,32,3,0,0,0,10,0,0,78,3.8,,897,15:28,0,0,,72,49,,,,0,0,
410,Grant,Hutton,D,2021-22,26,NYI,NHL,16,1,0,1,-1,4,1,0,0,0,0,0,0,22,4.5,,227,14:11,0,0,,12,15,,,,0,0,
411,Zach,Hyman,C,2021-22,29,EDM,NHL,76,27,27,54,-9,36,21,5,1,4,19,5,3,213,12.7,,1479,19:28,41,44,48.2,31,74,,,,0,0,
412,Alex,Iafallo,C,2021-22,28,LAK,NHL,79,17,20,37,4,8,13,3,1,2,16,3,1,215,7.9,,1462,18:30,15,17,46.9,53,48,,,,0,0,
413,Bokondji,Imama,LW,2021-22,25,ARI,NHL,4,1,0,1,-2,5,1,0,0,0,0,0,0,3,33.3,,18,4:31,0,0,,0,10,,,,0,0,
414,Matt,Irwin,D,2021-22,34,WSH,NHL,17,1,3,4,0,6,1,0,0,0,3,0,0,29,3.4,,215,12:39,0,0,,21,36,,,,0,0,
415,Mark,Jankowski,C,2021-22,27,BUF,NHL,19,2,3,5,2,4,2,0,0,1,3,0,0,14,14.3,,259,13:39,86,93,48.0,8,5,,,,0,0,
416,Mattias,Janmark,C,2021-22,29,VEG,NHL,67,9,16,25,3,21,7,0,2,1,15,0,1,89,10.1,,961,14:21,11,16,40.7,28,19,,,,0,0,
417,Calle,Järnkrok,C,2021-22,30,TOT,NHL,66,12,18,30,-14,6,10,2,0,1,14,4,0,101,11.9,,1058,16:02,239,228,51.2,17,38,,,,0,0,
418,Christián,Jaroš,D,2021-22,25,NJD,NHL,11,0,0,0,-4,2,0,0,0,0,0,0,0,9,0.0,,121,11:01,0,0,,10,21,,,,0,0,
419,Seth,Jarvis,C,2021-22,19,CAR,NHL,68,17,23,40,11,18,15,2,0,4,19,4,0,110,15.5,,944,13:53,11,14,44.0,21,69,,,,0,0,
420,Dmitrij,Jaškin,RW,2021-22,28,ARI,NHL,12,0,1,1,-6,4,0,0,0,0,1,0,0,23,0.0,,177,14:47,5,5,50.0,9,47,,,,0,0,
